English
Транскрипция
Русское название
amber	[ ˈæmbə ]	янтарный
deep-brown	[ ˈdiːpˈbraʊn ]	темно-коричневый
deep-green	[ diːp ɡriːn ]	темно-зеленый
denim blue	[ ˈdenɪm bluː ]	джинсовый
dim gray	[ dɪm ɡreɪ ]	тускло-серый
dull	[ dʌl ]	тусклый
dusty	[ ˈdʌsti ]	пыльный
ecru	[ ˈekruː ]	цвет небелёного сурового полотна
emerald	[ ˈemərəld ]	изумрудный
fallow	[ ˈfæləʊ ]	светло-желтый
firebrick	[ ˈfaɪəbrɪk ]	кирпичный
forest	[ ˈfɒrɪst ]	лесной
forest green	[ ˈfɒrɪst ɡriːn ]	зеленый лесной
forest green	[ ˈfɒrɪst ɡriːn ]	хаки
fuchsia	[ ˈfjuːʃə ]	фуксия
garnet	[ ˈɡɑːnɪt ]	темно-красный
ghost white	[ ɡəʊst waɪt ]	призрачно-белый
ginger brown	[ ˈdʒɪndʒə braʊn ]	рыжевато-коричневый
gold	[ ɡəʊld ]	золотой
golden	[ ˈɡəʊldən ]	золотой
goldenrod	[ ˈɡoldənˌrɒd ]	золотистый
gray	[ ɡreɪ ]	серый
green	[ ɡriːn ]	зеленый
green yellow	[ ɡriːn ˈjeləʊ ]	зелено-желтый
grey, gray	[ ɡreɪ ]	серый
honeydew	[ ˈhʌnɪdjuː ]	медовый
hot pink	[ hɒt pɪŋk ]	теплый розовый
hunter green	[ ˈhʌntə ɡriːn ]	зелёный
indigo	[ ˈɪndɪɡəʊ ]	индиго
ivory	[ ˈaɪvəri ]	слоновая кость
jade	[ dʒeɪd ]	желтовато-зелёный
khaki	[ ˈkɑːki ]	хаки
lavender	[ ˈlævəndə ]	бледно-лиловый
lavender	[ ˈlævəndə ]	лаванда
lavender blush	[ ˈlævəndə blʌʃ ]	голубой с красным отливом
lawn green	[ lɔːn ɡriːn ]	зеленая лужайка
lemon	[ ˈlemən ]	лимонный
lemon chiffon	[ ˈlemən ˈʃɪfɒn ]	лимонный
light blue	[ laɪt bluː ]	светло-синий
light coral	[ laɪt ˈkɒrəl ]	коралловый светлый
light cyan	[ laɪt ˈsaɪən ]	светлый циан, светло-голубой
light goldenrod	[ laɪt ˈɡoldənˌrɑːd ]	светло-золотистый
light goldenrod yellow	[ laɪt ˈɡoldənˌrɑːd ˈjeləʊ ]	светло-желтый золотистый
light gray	[ laɪt ɡreɪ ]	светло-серый
light pink	[ laɪt pɪŋk ]	светло-розовый
light seagreen	[ laɪt ˈsiːˈɡriːn ]	цвет морской волны, светлый
light sky blue	[ laɪt skaɪ bluː ]	небесно-голубой светлый
light slate blue	[ laɪt sleɪt bluː ]	светлый грифельно-синий
light slate gray	[ laɪt sleɪt ɡreɪ ]	грифельно-серый
light steel blue	[ laɪt stiːl bluː ]	голубой со стальным оттенком
light yellow	[ laɪt ˈjeləʊ ]	светло-желтый
light green	[ laɪt ɡriːn ]	салатовый
lilac	[ ˈlaɪlək ]	сиреневый
lime	[ laɪm ]	цвет лайма
lime green	[ laɪm ɡriːn ]	лимонно-зеленый
liver-coloured, livery	[ ˈlɪvəˈkʌləd ] [ˈlɪvəri ]	темно-каштановый
magenta	[ məˈdʒentə ]	маджента, пурпурный, фуксин
maroon	[ məˈruːn ]	темно-бордовый
mastic	[ ˈmæstɪk ]	бледно-желтый, цвет мастики
mauve	[ məʊv ]	розовато-лиловый
mazarine	[ ˌmæzəˈriːn ]	темно-синий
medium gray	[ ˈmiːdɪəm ɡreɪ ]	серый нейтральный
medium green	[ ˈmiːdɪəm ɡriːn ]	средне-зеленый
midnight blue	[ ˈmɪdnaɪt bluː ]	полуночно-синий
mint	[ mɪnt ]	мятный
misty rose	[ ˈmɪsti rəʊz ]	тускло-розовый
mole	[ məʊl ]	серый
mouse grey	[ maʊs ɡreɪ ]	мышиный
murrey	[ ˈmʌri ]	темно-красный
navy	[ ˈneɪvi ]	темно-синий цвет (цвет формы морских офицеров)
navy, navy blue, dark blue	[ ˈneɪvi ] [ ˈneɪvi bluː ] [ dɑːk bluː ]	тёмно-синий
nutmeg	[ ˈnʌtmeɡ ]	цвет мускатного ореха
off-white	[ ˌɒf ˈwaɪt ]	грязно-белый
olive	[ ˈɒlɪv ]	оливковый
olive green	[ ˈɒlɪv ɡriːn ]	оливковый зеленый
orange	[ ˈɒrɪndʒ ]	оранжевый
orange red	[ ˈɒrɪndʒ red ]	оранжево-красный
orangey	[ 'ɒrɪnʤɪ ]	светло-оранжевый
oyster white	[ ˈɔɪstə waɪt ]	серовато-белый
pale goldenrod	[ peɪl ˈɡoldənrɒd ]	бледно-золотистый
pale green	[ peɪl ɡriːn ]	бледно-зеленый
pale pink	[ peɪl pɪŋk ]	бледно-розовый
pale turquoise	[ peɪl ˈtɜːkwɔɪz ]	бледно-бирюзовый
pale violet red	[ peɪl ˈvaɪələt red ]	красно-фиолетовый бледный
pale yellow	[ peɪl ˈjeləʊ ]	бледно-желтый
peach	[ piːtʃ ]	персиковый
pearl	[ pɜːl ]	жемчужный
petunia	[ pɪˈtjuːnɪə ]	темно-лиловый
pewter	[ ˈpjuːtə ]	оловянный
photo magenta	[ ˈfəʊtəʊ məˈdʒentə ]	светло-пурпурный
pink	[ pɪŋk ]	розовый
pistachio	[ pɪˈstɑːtʃɪəʊ ]	фисташковый, зеленоватый цвет
plum	[ plʌm ]	сливовый, темно-фиолетовый
powder blue	[ ˈpaʊdə bluː ]	синий с пороховым оттенком
primrose	[ ˈprɪmrəʊz ]	лимонный
pumpkin	[ ˈpʌmpkɪn ]	цвет тыквы
purple	[ ˈpɜːpəl ]	пурпурный, фиолетовый
raspberry	[ ˈrɑːzbəri ]	малиновый
red	[ red ]	красный
rose	[ rəʊz ]	цвет розы
rosy	[ ˈrəʊzi ]	розовый
rosy brown	[ ˈrəʊzi braʊn ]	розово-коричневый
royal blue	[ ˈrɔɪəl bluː ]	королевский синий (чистый, яркий оттенок синего)
rust	[ rʌst ]	ржавый
salmon	[ ˈsæmən ]	лососевый, оранжево-розовый, цвета сомон
sand	[ sænd ]	песочный
sea foam	[ ˈsiːˈfəʊm ]	цвет морской пены
seagreen	[ ˈsiːˈɡriːn ]	цвет морской волны
seashell	[ ˈsiːʃel ]	морская раковина
sienna	[ sɪˈenə ]	охра
silver	[ ˈsɪlvə ]	серебряный
silvery	[ ˈsɪlvəri ]	серебряный
sky blue	[ skaɪ bluː ]	небесно-голубой
slate	[ sleɪt ]	синевато-серый
slate blue	[ sleɪt bluː ]	грифельно-синий
slate gray	[ sleɪt ɡreɪ ]	синевато-серый
smoke blue	[ sməʊk bluː ]	бледный серо-голубой
snow	[ snəʊ ]	белоснежный
spice orange	[ spaɪs ˈɒrɪndʒ ]	оранжевый
spring green	[ sprɪŋ ɡriːn ]	весенне-зеленый
steel blue	[ stiːl bluː ]	синий со стальным оттенком
steel gray	[ stiːl ɡreɪ ]	стальной серый
tan	[ tæn ]	желтовато-коричневый
tan	[ tæn ]	рыжевато-коричневый
tanned	[ tænd ]	бронзовый
taupe	[ təup ]	серо-коричневый, темно-серый
tawny	[ ˈtɔːni ]	темно-желтый
terracotta	[ ˌtɛrəˈkɒtə]	терракотовый
turquoise	[ ˈtɜːkwɔɪz ] [ ˈtɜːkwɑːz ]	бирюзовый
vinous	[ ˈvaɪnəs ]	бордовый
violet	[ ˈvaɪələt ]	фиолетовый, темно-лиловый
violet red	[ ˈvaɪələt red ]	красно-фиолетовый
wheat	[ wiːt ]	пшеничный
white	[ waɪt ]	белый
yellow	[ ˈjeləʊ ]	желтый
yellow green	[ ˈjeləʊ ɡriːn ]	желто-зеленый
