to practice an art	заниматься искусством
water-color painting	акварельная живопись
Colour 1.	n; живопись color 1) цвет (обычно яркий), оттенок, тон, колер
out of colour	выцветший, выгоревший
(Antonym) without colour	бесцветный; перен. "серый", обыкновенный, ничем не примечательный, незаметный
Colour	2) краска, красящее вещество, пигмент; This one is painted in dark colours. Эта картина нарисована темными красками
colouring	1) окрашивание, раскрашивание; 2) окраска, расцветка, цвет
Colour 2.	v.; живопись color иметь или придавать цвет; красить, раскрашивать; окрашивать
Depict	изображать на картине, рисовать. The artist depicted him strolling through a garden. Художник изобразил его гуляющим в саду. Syn: picture, portray, paint
Portray	рисовать портрет; изображать (кого-л.)
Portrayal	рисование портрета, изображение
Delineate	1) набрасывать, чертить, намечать. The exact position is delineated on the plan. На плане отмечена точное местоположение
Delineate	2) (переносное значение) схематически изображать (то, что должно быть создано); делать набросок; набрасывать. Our laws and the whole constitution of our state having been thus delineated. Таким образом, сделан предварительный проект наших законов и конституции в целом
Deliniation	изображение
Draw	чертить, рисовать, набрасывать рисунок; The assignment is to draw a horse in motion. Задание - сделать набросок бегущей лошади
to draw in pen and ink	рисовать тушью
Drawing	1) рисование; черчение; 2) рисунок, набросок, эскиз (сделанный ручкой, карандашом или мелком); 3) чертеж
to do, make a drawing	рисовать
a freehand drawing	чертеж от руки
a line drawing	чертеж; рисунок пером или карандашом
Design	чертеж, эскиз, набросок; рисунок, узор; делать эскизы наброски, создавать узоры и т. п
trace out	набрасывать (план, рисунок)
dash	быстрый набросок; мазок; штрих; набрасывать краску на холст
dot	точка; ставить точки, особая техника письма в живописи (не мазками, а точками так наз. пуантилизм)
to block in	набрасывать (рисунок, схему). He blocked the picture in roughly. Он сделал набросок картины
painter's paint/decorative paint	художественная краска
water paint	водная краска
flat paint/dull paint	матовая краска
water-colour	1) обыкн. мн. акварель, акварельные краски 2) акварель (рисунок)
oil-colours/ oil(s)	масляные краски
gouache	гуашь
crayon	цветной карандаш, цветной мелок, пастель; рисунок цветным карандашом, пастелью
hue	краска, оттенок, тон, цвет
colour tone	оттенок
tint	краска, оттенок, тон, в котором преобладает белый цвет (в картине)
half-tint	полутон
primary colours/ simple colours/ fundamental colours	основные цвета
cold and warm tones	холодные и теплые тона
semi-tones	полутона
low-toned pictutres	картины, написанные в смягченных тонах
subdued tones	приглушенные тона
broken tones	неровные тона
flesh colour	телесный цвет
pastel	пастель
light and shade	свет и тени
pastel	пастель
pastel shades	пастельные тона, оттенки
to paint in pastel	рисовать пастелью
pastel blue	пастельно-голубой, нежно-голубой
play of light	игра света
line and colour	рисунок и краска
colour scheme	палитра (колорит) художника
palette	палитра; колорит художника; стирать уже написанную часть картины мастихином
coloration	колорит (в живописи)
colour scale/ scale	живоп. цветовая гамма
colour match	цветовое согласование; цветовое уравнивание
relations of tone and colour	соотношение тона и цвета
colour rendition	спец. цветопередача, верность воспроизведения цвета
effect (часто pl)	впечатление от сочетания красок на картине
division of colours	приемы дивизионизма (живопись раздельными мазками)
the play of colours	игра (переливы) красок
riot of colours	изобилие, богатство красок
intensity	яркость, глубина (красок)
saturation	насыщенность цвета в живописи
colourful	красочный, яркий
colourless	бесцветный, бледный
colourlessness	тусклость
art gallery	художественная галерея
exhibit	экспонат
exhibition	выставка
art exhibition	художественная выставка
one-man exhibition	персональная выставка
permanent exhibition	постоянная выставка
special exhibition	специальная выставка
travelling exhibition	передвижная выставка
exhibition about	выставка, посвященная…
exhibition hall	выставочный зал
exposition	экспозиция
to display	выставлять
to go to an exhibition	пойти на выставку
to put on exhibition / stage an exhibition	устроить выставку
accentuate something	подчеркнуть
arrange symmetrically, asymmetrically, in a pyramid, in a vertical format	расположить (а)симметрично, в форме пирамиды, вертикально
be scarcely discernible	едва различимый
blend with the landscape	сливаться, сочетаться с пейзажем
define the nearer figures more sharply	обозначить ближайшие фигуры более резко
emphasize contours purposely	преднамеренно акцентировать контуры
in the background	на заднем плане
at the bottom	внизу
in the foreground	на переднем плане
in the left (right)-hand corner	в левом (правом) углу
at the top	наверху
indicate the sitter's profession	указывать на профессию модели
perspective	перспектива
place the figures against the landscape background	располагать фигуры на фоне пейзажа
Picture	картина; рисунок
a picture by Rubens	картина Рубенса
to draw, paint a picture	рисовать, писать картину; изображать на картине, рисовать
a piece of art	художественное произвдение
art work	1. художественное произведение; 2. оригинал
a work of art	произведение искусства
piece	картина
battle piece	батальная картина
conversation piece	живоп. жанровая картина (изображающая группу людей (особ. членов семьи) за каким-л. обыденным занятием)
life-size	размер в натуральную величину (о картинах, скульптурах)
half-life size	в половину натуральной величины
masterpiece	шедевр
to create a masterpiece	создать шедевр
enduring masterpiece	бессмертный шедевр
scene	вид, пейзаж, картина
scenery	пейзаж (всегда в ед.ч. и только о природе)
landscape	пейзаж; ландшафт (вид живописи и картина, изображающая пейзаж)
city-scape/townscape	городской пейзаж
marina / sea piece/ water piece/sea-scape	картина, изображающая морской вид, морской пейзаж, марина
still life	натюрморт
flower piece	натюрморт с цветами
fruit-piece	натюрморт с фруктами
portrait	портрет
self-portrait	автопортрет
half-lengh portrait	поясной портрет
full-lengh portrait	портрет во весь рост
shoulder-lengh portrait	погрудный портрет
knee-lengh portrait	портрет по колено
group portrait	групповой портрет
equestrian portrait	конный портрет
miniature	миниатюра (вид живописи и небольшая картина, обычно портрет)
caricature	карикатура
reproduction	репродукция, копия
art reproduction	художественная репродукция
art print	художественная репродукция, иллюстрация
prior art	прототип
panel	тонкая доска для живописи; панно; длинная узкая картина
fresco	фреска, фресковая живопись
line art	штриховой рисунок
black-and-white	рисунок пером
art collection	коллекция произведений искусства
daub	плохая картина, мазня; малевать
highlights	самая светлая часть картины
in the foreground	на переднем плане
in the background	на заднем плане
in the middle ground	на втором плане
against a background	на фоне
chaotic	хаотичный
cheap	дешевый
colourless daub of paint	бесцветная мазня
crude	кричащий
depressing	унылый, тягостный
disappointing	печальный
distinguished by a marvellous sense of colour and composition	отличается потрясающим чувством цвета и композиции
exquisite piece of painting	утонченное произведение
fake	подделка; подлог, фальшивка
forgery	подделка, подлог, фальсификация, фальшивка
gaudy	яркий, безвкусный
lyrical	лиричный
masterpiece	шедевр
moving	трогательный
obscure	мрачный, тусклый
original	оригинальный
poetic	поэтичный
romantic	романтичный
unintelligible	неразборчивый
unsurpassed masterpiece	непревзойденный шедевр
vulgar	вульгарный
аbstract	абстрактный
abundance	обилие, изобилие
accuracy	точность
affirmation	утверждение
air	воздух
animation	живость
apotheosis	апофеоз
arrangement	расположение
at one stroke	мгновенно
austere	суровый, строгий
brilliance	яркость
brushstroke	мазок
candid glimpses	бледные отблески
colourful	яркий
colouring	колорит
combination of colours	сочетание цветов
complete command of colours	великолепное владение цветом
conception	замысел
cone	конус
craftsmanship	мастерство
crystal-clear	чистый, прозрачный, ясный
cuboid	кубический
decorative	декоративный
decorativeness	декоративность
delicate colours	утонченные цвета
delineation	очертание, эскиз
density	плотность, густота
design	композиция
diffused light	рассеянный свет
drama	эффект, нечто броское, эффектное
effect	эффект, нечто броское, эффектное
emphasis	подчеркивание, акцент
expressiveness	выразительность
exquisite	утонченный
facial expression	выражение лица
finished technique	отточенная техника
fluid, fluent	плавный
gamut	гамма
geometrical abstraction	геометрическая абстракция
harmony of colours	гармония цветов
highlights	яркие участки изображения
homogeneous form	однородная форма
hyperbole	гипербола, преувеличение
immediacy	непосредственность
individual traits	индивидуальные черты
infinite	безграничный
intensity	глубина красок
intricate	запутанный, замысловатый
life-asserting art	жизнеутверждающее искусство
light and shade	светотень
line	линия
luminous	прозрачный, светлый
message	идейное содержание
original	1) оригинал 2) оригинальный
out of value	слишком темное или слишком светлое
personification	олицетворение
primary colours (red, blue, yellow)	основные цвета
projection	проекция, отображение
pure, vivid, brilliant, intense	чистые, яркие, насыщенные краски
soft, delicate colours	мягкие, приглушенные тона
range of colours	гамма цветов
reproduction	репродукция
riot of colours	богатство красок
saturation	насыщенность
secondary colour	сложный цвет
semi-tones	полутона
silhouette	силуэт
simplicity	простота
skill	искусство, умение
sphere	сфера
spirituality	одухотворенность
splashes of colour	яркие краски
subdued colours	приглушенные краски
subject	сюжет в живописи
subject matter	тема
texture	текстура
to acquire	овладеть
to affect	волновать
to anticipate	предвосхищать
to appeal	привлекать, влечь, взывать
to attain	достигать
to be silhouetted against	вырисовываться на фоне
to catch, capture, seize	схватить, передавать
to command attention	завладеть вниманием
to convey	передавать
to depict	изображать
to evoke	вызывать
to execute	исполнять
to fade	блекнуть
to frame	обрамлять
to glorify	прославлять
to grip	захватывать внимание
to penetrate	проникать, пронизывать
to portray	изображать
to produce impression	производить впечатление
to radiate	излучать
to render, represent	изображать
to restore	восстанавливать
to treat	трактовать
tone	тон
treatment	трактовка
subtle / gaudy colouring	нежные / кричащие цвета
to combine form and colour into harmonious unity	гармонично сочетать
brilliant / low keyed colour scheme where....predominates	блестящая, сдержанная гамма, где преобладают
muted in colour	приглушенные цвета
delicacy of tones may be lost in a reproduction	утонченность цветов может быть утеряна в репродукции
second-rate	второсортный, посредственный
overrated	переоцененный, перехваленный
revolting	отвратительный
unremarkable	невыдающийся, обыкновенный, ничем не примечательный
pathetic	жалкий, убогий, ничтожный
crude	сырой, неотработанный, черновой, предварительный
sketchy	эскизный (недоработанный, носящий незаконченный характер)
poor	жалкий, ничтожный, низкого качества
astonishing	удивительный, изумительный
remarkable	замечательный, удивительный, выдающийся
superb	великолепный, грандиозный, роскошный, превосходный
brilliant	блестящий, выдающийся
great	замечательный, великолепный
outstanding	выдающийся
second-rate	второсортный, посредственный
overrated	переоцененный, перехваленный
revolting	отвратительный
unremarkable	невыдающийся, обыкновенный, ничем не примечательный
pathetic	жалкий, убогий, ничтожный
crude	сырой, неотработанный, черновой, предварительный
sketchy	эскизный (недоработанный, носящий незаконченный характер)
poor	жалкий, ничтожный, низкого качества
astonishing	удивительный, изумительный
remarkable	замечательный, удивительный, выдающийся
superb	великолепный, грандиозный, роскошный, превосходный
brilliant	блестящий, выдающийся
great	замечательный, великолепный
outstanding	выдающийся
