Русское название
English name
Транскрипция
семья	family	[ ˈfæməli ]
четвероюродный брат (сестра)	third cousin	[ ˈθɜːd ˈkʌzən ]
родня со стороны мужа или жены	in-laws	[ ˈɪn lɔːz ]
свекровь	mother-in-law (husband's mother)	[ ˈmʌðərɪnˌlɔː ˈhəzbəndz ˈmʌðə ]
свёкор	father-in-law (husband's father)	[ ˈfɑːðər ɪnˌlɔː ˈhəzbəndz ˈfɑːðə ]
тёща	mother-in-law (wife's mother)	[ ˈmʌðərɪnˌlɔː waɪfs ˈmʌðə ]
тесть	father-in-law (wife's father)	[ ˈfɑːðər ɪnˌlɔː waɪfs ˈfɑːðə ]
невестка, сноха	daughter-in-law	[ ˈdɔːtərɪnˌlɔː ]
зять	son-in-law	[ ˈsʌnɪnˌlɔː ]
шурин, свояк, зять, деверь	brother-in-law	[ ˈbrʌðərɪnˌlɔː ]
свояченица, золовка, невестка	sister-in-law	[ ˈsɪstərɪnˌlɔː ]
семейное положение	marital status	[ ˈmærɪtəl ˈsteɪtəs ]
холостой, неженатый, незамужняя	single	[ ˈsɪŋɡəl ]
женатый, замужняя	married	[ ˈmærɪd ]
брак	marriage	[ ˈmærɪdʒ ]
помолвка	engagement	[ ɪnˈɡeɪdʒmənt ]
помолвленный, обрученный	engaged	[ ɪnˈɡeɪdʒd ]
развод	divorce	[ dɪˈvɔːs ]
разведенный	divorced	[ dɪˈvɔːst ]
бывший муж	ex-husband	[ ˈeks ˈhʌzbənd ]
бывшая жена	ex-wife	[ ˈeks waɪf ]
расставшиеся, не разведенные, но не проживающие одной семьей	separated	[ ˈsepəreɪtɪd ]
вдова	widow	[ ˈwɪdəʊ ]
вдовец	widower	[ ˈwɪdəʊə ]
подружка, невеста	girlfriend	[ ˈɡɜːlfrend ]
друг, парень, ухажер	boyfriend	[ ˈbɔɪfrend ]
любовник, любовница	lover	[ ˈlʌvə ]
ухажер, жених, подружка, невеста, обрученный	fiance	[ fiˈɒnseɪ ]
свадьба	wedding	[ ˈwedɪŋ ]
невеста на свадьбе	bride	[ braɪd ]
жених на свадьбе	(bride)groom	[ braɪd ɡruːm ]
медовый месяц	honeymoon	[ ˈhʌnɪmuːn ]
