English Word
Transcription
Русское слово
adjacent	[ əˈdʒeɪsnt ]	примыкающий
stool	[ stuːl ]	табурет
storeroom	[ ˈstɔːruːm ]	кладовая
stove	[ stəʊv ]	плита, печь
tap	[ tæp ]	кран
tea set	[ tiː set ]	чайный сервиз
three quarter bed	[ θriː ˈkwɔːtə bed ]	полутораспальная кровать
TV set	[ ˌtiːˈviː set ]	телевизор
throw open	[ ˈθrəʊ ˈəʊpən ]	распахнуть
threshold	[ ˈθreʃhəʊld ]	порог
tiled	[ taɪld ]	покрытый кафельной плиткой
toilet	[ ˈtɔɪlɪt ]	туалет
tubular steel chair	[ ˈtjuːbjʊlə stiːl tʃeə ]	стул с алюминиевыми ножками
unlock the door	[ ʌnˈlɒk ðə dɔː ]	отпереть дверь
upholstered furniture	[ ˌʌpˈhəʊlstəd ˈfɜːnɪtʃə ]	мягкая мебель
upholstery	[ ˌʌpˈhəʊlstəri ]	обивка
utensil	[ juːˈtensɪl ]	посуда, утварь
vacuum cleaner	[ ˈvækjʊəm ˈkliːnə ]	пылесос
vegetable cutter	[ ˈvedʒɪtəbl̩ ˈkʌtə ]	овощерезка
waffle-maker	[ ˈwɒfəl ˈmeɪkə ]	вафельница
wall lamp	[ wɔːl læmp ]	бра
wall-paper	[ ˈwɔːlpeɪpə ]	обои
wall units	[ wɔːl ˈjuːnɪts ]	стенка
wardrobe	[ ˈwɔːdrəʊb ]	шкаф
washing machine	[ ˈwɒʃɪŋ məˈʃiːn ]	стиральная машина
wash-basin	[ ˈwɒʃbeɪsn̩ ]	(умывальный) таз, умывальная раковина
washing wall-paper	[ ˈwɒʃɪŋ ˈwɔːlpeɪpə ]	моющиеся обои
whitewash	[ ˈwaɪtwɒʃ ]	побелка; белить, делать побелку
window-sill	[ ˈwɪndəʊsɪl ]	подоконник
yard	[ jɑːd ]	двор
