SLANG WORD OR PHRASE
MEANING
airhead	stupid person
rabbit	talk
racket (1)	noise
racket (2)	an occupation
racket (3)	something that's dishonest or deceptive
rat	a despicable person
rat-arsed	drunk
rear (end)	buttocks
(a) riot	something or someone very funny
rip off (1)	stealing
rip off (2)	fraud
ripper	great, fantastic
rocking	great; excellent
roll up	a hand rolled cigarette
rosie lee	tea
rubbish	nonsense; not true
ruck	a fight
rug	wig, toupee
rug rat	a child
rum	odd, strange
runs, the	diarrhoea
scoff	to eat
screw up	to make a mistake
screw-up	a person who makes a mistake
scum (оскорбительно]	a despicable individual
shades	sunglasses
shag [неприлично]	to make love
shagged-out	to feel tired
shed-load	a huge amount
shite	milder variation of the word shit
shitfaced [неприлично]	very drunk
shithead [неприлично]	a stupid, impolite person
skint	to have no money
skosh	a little bit
slapper [оскорбительно]	a loose or easy woman
smeghead	an idiot
snog	to kiss
snookered	cheated, stuck
solid (1)	really good; cool
solid (2)	consecutive
specs	eyeglasses
split	to leave
spunk [оскорбительно] (1)	semen
spunk (2)	spirit
spunk (3)	an attractive man
stoned	drunk from drugs or alcohol
stunner	a very good looking woman
street smart	knowledgeable about city life
strewth	exclamation
(I'll be) stuffed	expression of surprise
suck	to be bad and unacceptable
sunnies	sunglasses
swagman	tramp
sweet	excellent, cool
ta	thanks
tacky	something of poor taste or style
tanked (up)	to get very drunk
tea leaf	Rhyming Slang for thief
telly	television
thick as shit [оскорбительно]	very stupid
thick as two short planks [оскорбительно]	very stupid
thingo	Wadjamacallit, thingummy, whatsit, something you don't know the name of!
thou	thousand
threads	clothing
ticker (1)	the heart
ticker (2)	a watch
tiddly	slightly drunk
toss-pot [неприлично]	idiot
totally	really; completely
to the max	maximum
troll	an ugly girl
(the) trots	diarrhoea
trouble and strife	Rhyming Slang for 'wife'
trout [оскорбительно]	unattractive woman
turkey (1)	failure; flop
turkey (2)	dumb person
turn-off	something that repulses a person
umpteen	many; countless
up for it	to be willing to have a good time
up the duff	to be pregnant
Uncle Tom Cobley and all	a phrase meaning 'everyone'
uptight	nervous; anxious
veg out	relax in front of the TV (like a vegetable)
wad	a lot of money
wanker	an idiot or an unpleasant person
wasted	killed
weed (1)	marijuana
weed (2)	someone who is weak
wheels	car; motorcycle
whiz	someone who shows a special talent for something
wicked	excellent, cool
wimp	weak; feeble
wimpy	weak
wind up	to tease
winks	sleep
wuss	coward
x-rated	pornographic
yabber	talk (a lot)
Yank	an American
yob	a horrible or uncouth young man
zeds	sleep
zero	an unimportant person
zilch	nothing
zip (1)	nothing
zip (2)	energy; vigor
zip it	shut up
zit	pimple; acne
