English term
Транскрипция
Русское название
absentee voter	[ ˌæbsənˈtiː ˈvəʊtə ]	избиратель, голосующий заочно
automated register	[ ˈɔːtəmætɪd ˈredʒɪstə ]	система автоматической регистрации
autonomous district / okrug (Russia)	[ ɔːˈtɒnəməs ˈdɪstrɪkt / ˈɒkrug ]	автономный округ (РФ)
autonomous region (Russia)	[ ɔːˈtɒnəməs ˈriːdʒən ]	автономная область (РФ)
ballot	[ ˈbælət ]	Бюллетень избирательный
ballot access	[ ˈbælət ˈækses ]	пассивное избирательное право
ballot box	[ ˈbælət bɒks ]	избирательный ящик, ящик для голосования
ballot box seal	[ ˈbælət bɒks siːl ]	печать на ящике для избирательных бюллетеней
ballot card voting system	[ ˈbælət kɑːd ˈvəʊtɪŋ ˈsɪstəm ]	система голосования избирательными бюллетенями
ballot cast	[ ˈbælət kɑːst ]	поданный избирательный бюллетень
ballot protection	[ ˈbælət prəˈtekʃən ]	защита бюллетеня
bodies of local self government	[ ˈbɒdɪz əv ˈləʊkəl self ˈɡʌvənmənt ]	органы местного самоуправления
bodies of state power of a subject of the Russian Federation	[ ˈbɒdɪz əv steɪt ˈpaʊər əv ə sʌbˈdʒekt əv ðə ˈrʌʃən ˌfedəˈreɪʃən ]	органы государственной власти субъекта Российской Федерации
boundaries	[ ˈbaʊndrɪz ]	границы (территориальных образований для проведения выборов)
boundaries of electoral district	[ ˈbaʊndrɪz əv ɪˈlektərəl ˈdɪstrɪkt ]	границы избирательного округа
bribery	[ ˈbraɪbəri ]	подкуп
by-election	[ ˈbaɪ ɪˌlekʃən ]	дополнительные выборы
campaign account	[ kæmˈpeɪn əˈkaʊnt ]	счет избирательной кампании
campaign finance, financing of election campaigning (by candidates or parties)	[ kæmˈpeɪn ˈfaɪnæns ] ˈfaɪnænsɪŋ əv ɪˈlekʃən kæmˈpeɪnɪŋ baɪ ˈkændɪdəts ɔː ˈpɑːtɪz ]	финансирование избирательной кампании (кандидатами или партиями)
campaigning	[ kæmˈpeɪnɪŋ ]	проведение избирательной/предвыборной кампании
candidate	[ ˈkændɪdət ]	кандидат
candidate list	[ ˈkændɪdət lɪst ]	список кандидатов
candidate register	[ ˈkændɪdət ˈredʒɪstə ]	реестр для регистрации кандидатов
canvassing board (US)	[ ˈkænvəsɪŋ bɔːd ]	совет по вопросам предвыборной агитации (США)
canvassing the vote (US)	[ ˈkænvəsɪŋ ðə vəʊt ]	вся процедура прохождения голоса через все стадии подсчета и передачи данных (США)
caretaker government	[ ˈkeəteɪkə ˈɡʌvənmənt ]	правительство переходного периода (после проведения выборов)
casting vote	[ ˈkɑːstɪŋ vəʊt ]	голос решающий, с правом решающего голоса
Central Election Commission of the Russian Federation (CEC of RF)	[ ˈsentrəl ɪˈlekʃən kəˈmɪʃən əv ðə ˈrʌʃən ˌfedəˈreɪʃən ]	Центральная избирательная комиссия Российской Федерации (ЦИК РФ)
certificate of being elected (Russia)	[ səˈtɪfɪkeɪt əv ˈbiːɪŋ ɪˈlektɪd ]	удостоверение об избрании (РФ)
certificate of nomination	[ səˈtɪfɪkeɪt əv ˌnɒmɪˈneɪʃən ]	регистрация выдвижения кандидата
challenged vote	[ ˈtʃæləndʒd vəʊt ]	бюллетень с неясным волеизъявлением
challengers	[ ˈtʃæləndʒəz ]	претенденты
Chamber on Informational Disputes under the President (Russia)	[ ˈtʃeɪmbər ɒn ˌɪnfəˈmeɪʃən dɪˈspjuːts ˈʌndə ðə ˈprezɪdənt ˈrʌʃə ]	Палата по информационным спорам при Президенте Рф
charter of a municipal unit	[ ˈtʃɑːtər əv ə mjuːˈnɪsɪpəl ˈjuːnɪt ]	устав муниципального образования
charter of a public association (party)	[ ˈtʃɑːtər əv ə ˈpʌblɪk əˌsəʊʃiˈeɪʃən / ˈpɑːti ]	устав общественного объединения (партии)
Charter of a subject of the Russian Federation	[ ˈtʃɑːtər əv ə sʌbˈdʒekt əv ðə ˈrʌʃən ˌfedəˈreɪʃən ]	Устав субъекта Российской Федерации
Chief Electoral Office (Canada)	[ tʃiːf ɪˈlektərəl ˈɒfɪs ]	Управление по организации и проведению выборов (Канада)
Chief Registrar of Voters (US)	[ tʃiːf ˌredʒɪˈstrɑːr əv ˈvəʊtəz əz ]	Руководитель избирательной комиссии, либо главный регистратор (США)
citizen initiated referendum	[ ˈsɪtɪzən ɪˈnɪʃɪeɪtɪd ˌrefəˈrendəm ]	референдум, инициируемый гражданами
citizen participation	[ ˈsɪtɪzən pɑ:ˌtɪsɪˈpeɪʃən ]	гражданское участие
citizen's ID	[ ˈsɪtəzənz ɪd ]	документ, удостоверяющий личность гражданина
clear intention test	[ klɪər ɪnˈtenʃən test ]	тест для определения подлинного волеизъявления граждан
clerk of the writs	[ klɑːk əv ðə ˈrɪts ]	ответственный за уведомление избирателей
close of the poll	[ kləʊz əv ðə pəʊl ]	закрытие избирательного участка
coalition government	[ ˌkəʊəˈlɪʃən ˈɡʌvənmənt ]	коалиционное правительство
code of conduct	[ kəʊd əv kənˈdʌkt ]	кодекс поведения
Committee on Election Legislation	[ kəˈmɪti ɒn ɪˈlekʃən ˌledʒɪsˈleɪʃən ]	Комитет по вопросам законодательства о выборах
competence	[ ˈkɒmpɪtəns ]	компетенция
compulsory registration	[ kəmˈpʌlsəri ˌredʒɪˈstreɪʃən ]	обязательная регистрация
conduct of election, election administration	[ kənˈdʌkt əv ɪˈlekʃən ] ɪˈlekʃən ədˌmɪnɪˈstreɪʃən ]	проведение выборов
conduct of propaganda at a prohibited time (administrative offence)	[ kənˈdʌkt əv ˌprɒpəˈɡændə ət ə prəˈhɪbɪtɪd ˈtaɪm ədˈmɪnɪstrətɪv əˈfens ]	проведение агитации в период ее запрещения (административное правонарушение)
consent to nomination	[ kənˈsent tə ˌnɒmɪˈneɪʃən ]	согласие на выдвижение (в качестве кандидата)
constituency election commission	[ kənˈstɪtjʊənsi ɪˈlekʃən kəˈmɪʃən ]	окружная избирательная комиссия
constituency, district	[ kənˈstɪtjʊənsi ] ˈdɪstrɪkt ]	(избирательный) округ
Constitutional Convention	[ ˌkɒnstɪˈtjuːʃənəl kənˈvenʃən ]	Конституционное собрание
Constitutional Court	[ ˌkɒnstɪˈtjuːʃənəl kɔːt ]	конституционный суд
contribution	[ ˌkɒntrɪˈbjuːʃən ]	пожертвование / вклад
county	[ ˈkaʊnti ]	1) графство (административная единица, Великобритания) 2) округ (США)
county election board	[ ˈkaʊnti ɪˈlekʃən bɔːd ]	избирательная комиссия графства / округа
criminal liability for violation of electoral rights of citizens	[ ˈkrɪmɪnəl ˌlaɪəˈbɪlɪti fə ˌvaɪəˈleɪʃən əv ɪˈlektərəl raɪts əv ˈsɪtɪzənz ]	уголовная ответственность за нарушение избирательных прав граждан
debates	[ dɪˈbeɪts ]	дебаты
decision of election commission, referendum commission	[ dɪˈsɪʒən əv ɪˈlekʃən kəˈmɪʃən ] [ ˌrefəˈrendəm kəˈmɪʃən ]	решение избирательной комиссии, комиссии референдума
declaration of candidacy	[ ˌdekləˈreɪʃən əv ˈkændɪdəsi ]	заявление о выдвижении кандидатуры
declaration of election results	[ ˌdekləˈreɪʃən əv ɪˈlekʃən rɪˈzʌlts ]	объявление о результатах выборов
declaration of withdrawal	[ ˌdekləˈreɪʃən əv wɪðˈdrɔːrəl ]	заявление о снятии кандидатуры
deliberate distraction, damage to propaganda printed materials (administrative offence)	[ dɪˈlɪbəreɪt dɪˈstrækʃən ] [ˈdæmɪdʒ tə ˌprɒpəˈɡændə ˈprɪntɪd məˈtɪərɪəlz ] [ ədˈmɪnɪstrətɪv əˈfens ]	умышленное уничтожение, повреждение агитационных печатных материалов (административное правонарушение)
delimitation	[ di:ˌlɪmɪˈteɪʃən ]	определение границ (избирательных округов)
deputy	[ ˈdepjʊti ]	депутат, представитель
direct and representative democracy	[ dɪˈrekt ənd ˌreprɪˈzentətɪv dɪˈmɒkrəsi ]	прямая и представительная демократия
direct election	[ dɪˈrekt ɪˈlekʃən ]	прямые выборы
direct suffrage	[ dɪˈrekt ˈsʌfrɪdʒ ]	право на прямые выборы
disenfranchisement, debarring	[ ˌdɪsənˈfrænˌtʃaɪzmənt ] [ dɪˈbɑːrɪŋ ]	лишение избирательных прав
dissemination of false information about a candidate (administrative offence)	[ dɪˌsemɪˈneɪʃən əv ˈfɔːls ˌɪnfəˈmeɪʃən əˈbaʊt ə ˈkændɪdət ] [ ədˈmɪnɪstrətɪv əˈfens ]	распространение ложных сведений о кандидате (административное правонарушение)
door-to-door campaigning	[ ˌdɔː tə ˈdɔː kæmˈpeɪnɪŋ ]	обход всех избирателей на дому, при агитации за кандидата
double voting	[ ˈdʌbəl ˈvəʊtɪŋ ]	голосование дважды (сша)
dual candidate	[ ˈdjuːəl ˈkændɪdət ]	кандидат, выдвигаемый по двум спискам
Duma, State Duma of the Federal Assembly of the Russian Federation (Lower House of Parliament)	[ ˈduːmə ] [ steɪt ˈduːmə əv ðə ˈfedərəl əˈsembli əv ðə ˈrʌʃən ˌfedəˈreɪʃən ] [ ˈləʊə ˈhaʊs əv ˈpɑːləmənt ]	Дума, Государственная дума Федерального Собрания РФ (нижняя палата парламента)
early election	[ ˈɜːli ɪˈlekʃən ]	досрочные выборы
early voting	[ ˈɜːli ˈvəʊtɪŋ ]	досрочное голосование
elected body (agency)	[ ɪˈlektɪd ˈbɒdi ˈeɪdʒənsi ]	выборный орган
elected office	[ ɪˈlektɪd ˈɒfɪs ]	выборная должность
elected official	[ ɪˈlektɪd əˈfɪʃəl ]	выборное должностное лицо
election campaign	[ ɪˈlekʃən kæmˈpeɪn ]	избирательная кампания
Election Commission of a Subject of the Russian Federation	[ ɪˈlekʃən kəˈmɪʃən əv ə sʌbˈdʒekt əv ðə ˈrʌʃən ˌfedəˈreɪʃən ]	Избирательная комиссия субъекта Российской Федерации
election commissions	[ ɪˈlekʃən kəˈmɪʃənz ]	избирательные комиссии
election constituency / district	[ ɪˈlekʃən kənˈstɪtjʊənsi ] [ ˈdɪstrɪkt ]	избирательный округ
election costs (for the budget)	[ ɪˈlekʃən kɒsts ] [ fə ðə ˈbʌdʒət ]	расходы на проведение выборов (из бюджета)
election court	[ ɪˈlekʃən kɔːt ]	суд, рассматривающий вопросы выборов
election day	[ ɪˈlekʃən deɪ ]	день выборов
election donation	[ ɪˈlekʃən dəʊˈneɪʃən ]	пожертвования на проведение выборов
election enrolment center (US)	[ ɪˈlekʃən ɪnˈrəʊlmənt ˈsentər ]	центр регистрации избирателей (США)
election financing, election costs (Russia)	[ ɪˈlekʃən ˈfaɪnænsɪŋ ] [ ɪˈlekʃən kɒsts ]	финансирование выборов, из бюджета (РФ)
election fraud	[ ɪˈlekʃən frɔːd ]	мошенничество, нарушения на выборах
election law	[ ɪˈlekʃən lɔː ]	избирательное право
election night count	[ ɪˈlekʃən naɪt kaʊnt ]	подсчет голосов после закрытия избирательных участков
election officials, election administrators	[ ɪˈlekʃən əˈfɪʃəlz ] [ ɪˈlekʃən ədˈmɪnɪstreɪtəz ]	сотрудники избирательных комиссий / лица, ответственные за организацию и проведение выборов
election propaganda, election campaigning	[ ɪˈlekʃən ˌprɒpəˈɡændə ] [ ɪˈlekʃən kæmˈpeɪnɪŋ ]	предвыборная агитация
election regulations	[ ɪˈlekʃən ˌreɡjʊˈleɪʃənz ]	инструкции в избирательном праве
election returns	[ ɪˈlekʃən rɪˈtɜːnz ]	результаты выборов
election system	[ ɪˈlekʃən ˈsɪstəm ]	избирательная система
elections in the Russian Federation	[ ɪˈlekʃənz ɪn ðə ˈrʌʃən ˌfedəˈreɪʃən ]	выборы в Российской Федерации
electoral association (party) (Russia)	[ ɪˈlektərəl əˌsəʊʃiˈeɪʃən ] [ ˈpɑːti ]	избирательное объединение (РФ)
electoral bloc	[ ɪˈlektərəl blɒk ]	избирательный блок
electoral fund of a candidate, electoral association, electoral bloc	[ ɪˈlektərəl fʌnd əv ə ˈkændɪdət ] ɪˈlektərəl əˌsəʊʃiˈeɪʃən ] ɪˈlektərəl blɒk ]	избирательный фонд кандидата, избирательного объединения, избирательного блока
electoral reform	[ ɪˈlektərəl rɪˈfɔːm ]	реформа избирательной системы
electoral rights of citizens	[ ɪˈlektərəl raɪts əv ˈsɪtɪzənz ]	избирательные права граждан
electorate	[ ɪˈlektərət ]	электорат
electronic mass media	[ ˌɪlekˈtrɒnɪk mæs ˈmiːdɪə ]	электронные средства массовой информации
electronic voting system	[ ˌɪlekˈtrɒnɪk ˈvəʊtɪŋ ˈsɪstəm ]	система голосования с помощью электронных средств
employer's denial to give a leave to participate in elections (administrative offence)	[ emˌplɔɪərz dɪˈnaɪəl tə ɡɪv ə liːv tə pɑːˈtɪsɪpeɪt ɪn ɪˈlekʃənz ] [ ədˈmɪnɪstrətɪv əˈfens ]	отказ работодателя в предоставлении отпуска для участия в выборах (административное правонарушение)
equal suffrage	[ ˈiːkwəl ˈsʌfrɪdʒ ]	равное избирательное право
exit polling	[ ˈeksɪt ˈpəʊlɪŋ ]	опрос проголосовавших избирателей на выходе с избирательного участка
faction in the legislature	[ ˈfækʃən ɪn ðə ˈledʒɪsleɪtʃə ]	фракция в органе законодательной власти
failure to submit or to publish information on vote returns or election results (administrative offence)	[ ˈfeɪljə tə səbˈmɪt ɔː tə ˈpʌblɪʃ ˌɪnfəˈmeɪʃən ɒn vəʊt rɪˈtɜːnz ɔːr ɪˈlekʃən rɪˈzʌlts ədˈmɪnɪstrətɪv əˈfens ]	непредставление либо неопубликование сведений об итогах голосования или о результатах выборов (административное правонарушение)
failure to submit or to publish reports on spending funds allocated for election administration (administrative offence)	[ ˈfeɪljə tə səbˈmɪt ɔː tə ˈpʌblɪʃ rɪˈpɔːts ɒn ˈspendɪŋ fʌndz ˈæləkeɪtɪd fər ɪˈlekʃən ədˌmɪnɪˈstreɪʃən ] [ ədˈmɪnɪstrətɪv əˈfens ]	непредставление или неопубликование отчетов о расходовании средств на подготовку и проведение выборов (административное правонарушение)
federal bodies of state power	[ ˈfedərəl ˈbɒdɪz əv steɪt ˈpaʊə ]	федеральные органы государственной власти
federal constitutional law	[ ˈfedərəl ˌkɒnstɪˈtjuːʃənəl lɔː ]	федеральный конституционный закон
Federal Election Commission, FEC (US)	[ ˈfedərəl ɪˈlekʃən kəˈmɪʃən ]	Федеральная избирательная комиссия (США)
Federal Law	[ ˈfedərəl lɔː ]	федеральный закон
Federal special-purpose program for improving legal culture of voters and election administrators in the Russian Federation	[ ˈfedərəl ˈspeʃəl ˈpɜːpəs ˈprəʊɡræm fər ɪmˈpruːvɪŋ ˈliːɡəl ˈkʌltʃər əv ˈvəʊtəz ənd ɪˈlekʃən ədˈmɪnɪstreɪtəz ɪn ðə ˈrʌʃən ˌfedəˈreɪʃən ]	Федеральная целевая программа повышения правовой культуры избирателей и организаторов выборов в Российской Федерации
Federation	[ ˌfedəˈreɪʃən ]	Федерация
Federation Council of the Federal Assembly of the Russian Federation, Upper House of Parliament	[ ˌfedəˈreɪʃən ˈkaʊnsəl əv ðə ˈfedərəl əˈsembli əv ðə ˈrʌʃən ˌfedəˈreɪʃən ] [ ˈʌpə ˈhaʊs əv ˈpɑːləmənt ]	Совет Федерации Федерального Собрания РФ, верхняя палата парламента
felony	[ ˈfeləni ]	тяжкое уголовное преступление (фелония)
filing	[ ˈfaɪlɪŋ ]	регистрация, подача заявки
final count	[ ˈfaɪnəl kaʊnt ]	окончательный подсчет голосов
financial report	[ faɪˈnænʃəl rɪˈpɔːt ]	финансовый отчет
fine	[ faɪn ]	штраф
foreign (international) observer	[ ˈfɒrən ˌɪntəˈnæʃənəl əbˈzɜːvə ]	иностранный (международный) наблюдатель
fundraising	[ ˈfənˌdresɪŋ ]	сбор средств
general elections	[ ˈdʒenr̩əl ɪˈlekʃənz ]	выборы всеобщие
general roll	[ ˈdʒenr̩əl rəʊl ]	полный список избирателей в избирательном округе
gerrymandering	[ ˌdʒerɪˈmændərɪŋ ]	устраивать предвыборные махинации
grounds for registration of voters (Russia)	[ ɡraʊndz fə ˌredʒɪˈstreɪʃən əv ˈvəʊtəz ]	основание для регистрации (учета) избирателей (РФ)
group voting ticket (US)	[ ɡruːp ˈvəʊtɪŋ ˈtɪkɪt ]	групповой избирательный бюллетень (США)
guarantees of electoral rights and the right to participate in a referendum	[ ˌɡærənˈtiːz əv ɪˈlektərəl raɪts ənd ðə raɪt tə pɑːˈtɪsɪpeɪt ɪn ə ˌrefəˈrendəm ]	гарантии избирательных прав и права на участие в референдуме
hidden advertising	[ ˈhɪdən ˈædvətaɪzɪŋ ]	скрытая реклама
hindering a citizen of the Russian Federation from exercising his / her electoral rights or an election commission from carrying out its work (administrative offence)	[ ˈhɪndərɪŋ ə ˈsɪtɪzən əv ðə ˈrʌʃən ˌfedəˈreɪʃən frəm ˈeksəsaɪzɪŋ ɪz hər ɪˈlektərəl raɪts ɔːr ən ɪˈlekʃən kəˈmɪʃən frəm ˈkærɪɪŋ aʊt ɪts ˈwɜːk ] [ ədˈmɪnɪstrətɪv əˈfens ]	воспрепятствование осуществлению гражданином Российской Федерации своих избирательных прав либо работе избирательной комиссии (административное правонарушение)
ID of a candidate	[ ɪd əv ə ˈkændɪdət ]	удостоверение кандидата
ID of a candidate's agent	[ ɪd əv ə ˈkændədets ˈeɪdʒənt ]	удостоверение доверенного лица кандидата
Illegal acceptance of donations by a candidate or an electoral association (administrative offence)	[ ɪˈliːɡəl əkˈseptəns əv dəʊˈneɪʃənz baɪ ə ˈkændɪdət ɔːr ən ɪˈlektərəl əˌsəʊʃiˈeɪʃən ədˈmɪnɪstrətɪv əˈfens ]	незаконное принятие пожертвований кандидатом либо избирательным объединением (административное правонарушение)
Illegal voters	[ ɪˈliːɡəl ˈvəʊtəz ]	лица, не имеющие избирательных прав
imitation ballot	[ ˌɪmɪˈteɪʃən ˈbælət ]	поддельный бюллетень
impeachment	[ ɪmˈpiːtʃmənt ]	импичмент
incorrect ballot	[ ˌɪnkəˈrekt ˈbælət ]	бюллетень неустановленного образца / неверно заполненный бюллетень
incumbent	[ ɪnˈkʌmbənt ]	должностное лицо, занимающее какую-либо должность / пост
independent candidate	[ ˌɪndɪˈpendənt ˈkændɪdət ]	независимый кандидат
indirect elections	[ ˌɪndɪˈrekt ɪˈlekʃənz ]	непрямые / опосредованные выборы
ineligible voters	[ ɪnˈelɪdʒəbəl ˈvəʊtəz ]	избиратели, не обладающие избирательным правом
informal vote	[ ɪnˈfɔːməl vəʊt ]	избирательный бюллетень, по которому невозможно определить волеизъявление избирателя
information of registered candidates (lists of candidates)	[ ˌɪnfəˈmeɪʃən əv ˈredʒɪstəd ˈkændɪdəts lɪsts əv ˈkændɪdəts ]	информация о зарегистрированных кандидатах (списках кандидатов)
initiative group for nominating a candidate	[ ɪˈnɪʃətɪv ɡruːp fə ˈnɒmɪneɪtɪŋ ə ˈkændɪdət ]	инициативная группа по выдвижению кандидата
in-kind donation	[ ˈɪnkaɪnd dəʊˈneɪʃən ]	пожертвования в неденежной (натуральной) форме
international (foreign) observer / monitor	[ ˌɪntəˈnæʃənəl ˈfɒrən əbˈzɜːvə / ˈmɒnɪtə ]	международный (иностранный) наблюдатель
interview	[ ˈɪntəvjuː ]	интервью, беседа, собеседование, встреча,
invalid ballot	[ ɪnˈvælɪd ˈbælət ]	недействительный избирательный бюллетень
invalid ballot, disallowed vote	[ ɪnˈvælɪd ˈbælət ] [ ˌdɪsəˈlaʊd vəʊt ]	недействительный бюллетень / голос
invalid elections	[ ɪnˈvælɪd ɪˈlekʃənz ]	недействительные выборы
invalid referendum results	[ ɪnˈvælɪd ˌrefəˈrendəm rɪˈzʌlts ]	недействительные результаты референдума
judicial recount	[ dʒuːˈdɪʃəl rɪˈkaʊnt ]	подсчет голосов в суде
jurisdiction	[ ˌdʒʊərɪsˈdɪkʃən ]	юрисдикция
krai, land (Russia)	[ kraɪ ] [ lænd ]	край (РФ)
law of a subject of the Russian Federation	[ lɔːr əv ə sʌbˈdʒekt əv ðə ˈrʌʃən ˌfedəˈreɪʃən ]	закон субъекта Российской Федерации
laws on elections, election legislation	[ lɔːz ɒn ɪˈlekʃənz ] ɪˈlekʃən ˌledʒɪsˈleɪʃən ]	избирательное законодательство
list of candidates	[ lɪst əv ˈkændɪdəts ]	список кандидатов
local authorities	[ ˈləʊkəl ɔːˈθɒrətiz ]	местные органы власти
local elections	[ ˈləʊkəl ɪˈlekʃənz ]	местные выборы
local referendum	[ ˈləʊkəl ˌrefəˈrendəm ]	местный референдум
local self-government	[ ˈləʊkəl ˈselfˈɡəvərnmənt ]	местное самоуправление
long ballot	[ ˈlɒŋ ˈbælət ]	избирательный бюллетень, предполагающий многовариантный выбор избирателя
lower house	[ ˈləʊə ˈhaʊs ]	нижняя палата (парламента)
majority / majoritarian electoral system	[ ˌmædʒərəˈteriən ɪˈlektərəl ˈsɪstəm ]	мажоритарная избирательная система
majority government	[ məˈdʒɒrɪti ˈɡʌvənmənt ]	правительство большинства
mandate	[ ˈmændeɪt ]	мандат
marking	[ ˈmɑːkɪŋ ]	проставление отметок
mass media	[ mæs ˈmiːdɪə ]	средства массовой информации
minority government	[ maɪˈnɒrɪti ˈɡʌvənmənt ]	правительство меньшинства
misdemeanor	[ ˌmɪsdəˈmiːnə ]	мелкое преступление, судебно наказуемый поступок (мисдиминор)
misuse of freedom of the mass media (Russia)	[ ˌmɪsˈjuːz əv ˈfriːdəm əv ðə mæs ˈmiːdɪə ]	злоупотребление свободой средств массовой информации (РФ)
misuse of the right to campaign	[ ˌmɪsˈjuːz əv ðə raɪt tə kæmˈpeɪn ]	злоупотребление правом на проведение агитации
mobile ballot box	[ ˈməʊbaɪl ˈbælət bɒks ]	переносной ящик для голосования
monetary deposit	[ ˈmʌnɪtri dɪˈpɒzɪt ]	денежный залог
multi-mandate constituency / electoral district	[ ˈmʌlti ˈmændeɪt ɪˈlektərəl kənˈstɪtjʊənsi ˈdɪstrɪkt ]	многомандатный избирательный округ
multi-member constituency / electoral district	[ ˈmʌlti ˈmembə kənˈstɪtjʊənsi / ɪˈlektərəl ˈdɪstrɪkt ]	многомандатный избирательный округ
multi-party system	[ ˈmʌltiˌpɑːti ˈsɪstəm ]	многопартийная система
multi-party talks	[ ˈmʌltiˌpɑːti tɔːks ]	многопартийные переговоры
municipal elections	[ mjuːˈnɪsɪpəl ɪˈlekʃənz ]	муниципальные выборы
municipal law	[ mjuːˈnɪsɪpəl lɔː ]	муниципальное право
municipal official	[ mjuːˈnɪsɪpəl əˈfɪʃəl ]	муниципальный служащий
municipal periodical	[ mjuːˈnɪsɪpəl ˌpɪərɪˈɒdɪkəl ]	муниципальное периодическое печатное издание
municipal service	[ mjuːˈnɪsɪpəl ˈsɜːvɪs ]	муниципальная служба
municipal TV and radio company	[ mjuːˈnɪsɪpəl ˌtiːˈviː ənd ˈreɪdɪəʊ ˈkʌmpəni ]	муниципальная телерадиокомпания
municipal unit	[ mjuːˈnɪsɪpəl ˈjuːnɪt ]	муниципальное образование
municipal unit territory	[ mjuːˈnɪsɪpəl ˈjuːnɪt ˈterɪtr̩i ]	Территория муниципального образования
national donation	[ ˈnæʃnəl dəʊˈneɪʃən ]	пожертвование на общенациональные выборы
news show (TV and radio)	[ njuːz ʃəʊ ˌtiːˈviː ənd ˈreɪdɪəʊ ]	информационная телерадиопрограмма
nomination	[ ˌnɒmɪˈneɪʃən ]	выдвижение
nomination day	[ ˌnɒmɪˈneɪʃən deɪ ]	день выдвижения кандидатов
nomination of candidate	[ ˌnɒmɪˈneɪʃən əv ˈkændɪdət ]	выдвижение кандидата
observer / monitor	[ əbˈzɜːvə / ˈmɒnɪtə ]	наблюдатель
official publication of election results	[ əˈfɪʃəl ˌpʌblɪˈkeɪʃən əv ɪˈlekʃən rɪˈzʌlts ]	официальное опубликование итогов выборов
one-person-one-vote	[ wʌn ˈpɜːsən wʌn vəʊt ]	один человек - один голос
open voting	[ ˈəʊpən ˈvəʊtɪŋ ]	заполнение бюллетеня вне кабинок
ordinary vote	[ ˈɔːdɪnri vəʊt ]	обычный голос
Organization for Security and Co-operation in Europe (OSCE)	[ ˌɔːɡənaɪˈzeɪʃən fə sɪˈkjʊərɪti ənd kəʊˌɒpəˈreɪʃən ɪn ˈjʊərəp ]	Организация по безопасности и сотрудничеству в Европе (ОБСЕ)
overseas voters	[ ˌəʊvəˈsiːz ˈvəʊtəz ]	избиратели, находящиеся за рубежом
parliamentary elections	[ ˌpɑːləˈmentri ɪˈlekʃənz ]	парламентские выборы
parties	[ ˈpɑːtɪz ]	партии
party identification	[ ˈpɑːti aɪˌdentɪfɪˈkeɪʃən ]	партийная принадлежность
party leader	[ ˈpɑːti ˈliːdə ]	партийный лидер
party list	[ ˈpɑːti lɪst ]	партийный список
party logo	[ ˈpɑːti ˈləʊɡəʊ ]	партийная символика
party manifesto	[ ˈpɑːti ˌmænɪˈfestəʊ ]	манифест, программный документ партии
